company_name,job_title,salary,salary_type,work_location,emp_type,seniority,job_cat,job_details
IRISNATION SINGAPORE PTE. LTD.,Senior Manager,"$4,500to$6,800",Monthly,19 CHINA STREET 049561,Full Time,Manager,Advertising / Media ,"Roles & ResponsibilitiesWe’re Iris Concise (www.Iris-concise.com) – a global growth consultancy with offices across Asia, the US and Europe. We help our clients develop more valuable relationships with their customers. We are entrepreneurs ourselves and believe in offering clients new perspectives. We get to the point. Our business operates across 6 communities of practice – collaborative teams spanning our global offices in which we publish content, deliver projects and develop products. In Singapore we focus on 3 communities – commercial strategy, marketing effectiveness and digital transformation. Data underpins everything we do, and data science makes up our fundamental final community. Concise is part of Iris Worldwide, the global creative innovation network (www.Iris-worldwide.com). We drive business growth with many of the world’s household names –Samsung, Intercontinental Hotels Group, Phillips, Starbucks, Shell and others. Is this You? We’re looking for a strong data analyst, capable of turning a wealth of data into insights that can be used to increase the business impact of CRM, both through retention of existing customers and acquisition from competitors. The right candidate will be a self-motivated individual, capable of both working independently and leading workstreams, as well as collaborating as part of a team. You’ll be working as part of a cross-agency team (data, strategy, creative, production, operations) which is pioneering data-driven marketing for one of the biggest electronics brands in the world.RequirementsWhat are we looking for ? For this role you must have:   Strong, hands-on experience in advanced analytics using SQL or similar   Experience in designing, developing, and applying advanced analytics solutions to commercial and marketing challenges   Experience owning the design and development of analytical projects   The ability to describe analytics and its outputs in a manner which is clearly understood by those without a working knowledge of data   Be capable of presenting data outputs to senior clients   A Bachelors / Masters degree (likely to be in the Economics, Mathematics, or other numerate fields) with 3-5 years of work experience For this role, ideally, you’d have:     An understanding of the broader context of analytics as one pillar of data-driven marketing   Experience working on CRM focussed projects   Experience working with Qlik to build automated dashboards What you’ll do   Work as part of a 10-person core team operating our client’s regional data-driven marketing program (1 x program lead, 4 x analysts, 5 x execution specialists)   Lead the delivery of regular insight deliverables (with the support and guidance of a Senior Data Scientist), producing exploratory analysis which informs business / marketing strategy and campaigns   Measure the effectiveness and business impact of marketing activities, and provide recommendations as to how activities should be optimised   Be responsible for consistently and proactively producing interesting and unexpected insights to our clients, positioning Iris Concise as a leader in data-driven marketing   Likely be 80% - 100% focussed on a single client for the first 6 months of your role    "
IRISNATION SINGAPORE PTE. LTD.,Senior Manager,"$4,500to$7,000",Monthly,19 CHINA STREET 049561,Full Time,Middle Management,Advertising / Media ,"Roles & ResponsibilitiesWe’re Iris Concise (www.Iris-concise.com) – a global growth consultancy with offices across Asia, the US and Europe. We help our clients develop more valuable relationships with their customers. We are entrepreneurs ourselves and believe in offering clients new perspectives. We get to the point. Our business operates across 6 communities of practice – collaborative teams spanning our global offices in which we publish content, deliver projects and develop products. In Singapore we focus on 3 communities – commercial strategy, marketing effectiveness and digital transformation. Data underpins everything we do, and data science makes up our fundamental final community. Concise is part of Iris Worldwide, the global creative innovation network (www.Iris-worldwide.com). We drive business growth with many of the world’s household names –Samsung, Intercontinental Hotels Group, Phillips, Starbucks, Shell and others. Is this you? We’re looking for a strong data analyst, capable of turning a wealth of data into insights that can be used to increase the business impact of CRM, both through retention of existing customers and acquisition from competitors. The right candidate will be a self-motivated individual, capable of both working independently and leading workstreams, as well as collaborating as part of a team. You’ll be working as part of a cross-agency team (data, strategy, creative, production, operations) which is pioneering data-driven marketing for one of the biggest electronics brands in the world.RequirementsWhat we’re looking for... For this role as Senior Manager,  you must have:   Strong, hands-on experience in advanced analytics using SQL or similar   Experience in designing, developing, and applying advanced analytics solutions to commercial and marketing challenges   Experience owning the design and development of analytical projects   The ability to describe analytics and its outputs in a manner which is clearly understood by those without a working knowledge of data   Be capable of presenting data outputs to senior clients   A Bachelors / Masters degree (likely to be in the Economics, Mathematics, or other numerate fields) with 3-5 years of work experience For this role, ideally, you’d have:     An understanding of the broader context of analytics as one pillar of data-driven marketing   Experience working on CRM focussed projects   Experience working with Qlik to build automated dashboards What you’ll do   Work as part of a 10-person core team operating our client’s regional data-driven marketing program (1 x program lead, 4 x analysts, 5 x execution specialists)   Lead the delivery of regular insight deliverables (with the support and guidance of a Senior Data Scientist), producing exploratory analysis which informs business / marketing strategy and campaigns   Measure the effectiveness and business impact of marketing activities, and provide recommendations as to how activities should be optimised   Be responsible for consistently and proactively producing interesting and unexpected insights to our clients, positioning Iris Concise as a leader in data-driven marketing   Likely be 80% - 100% focussed on a single client for the first 6 months of your role    "
IRISNATION SINGAPORE PTE. LTD.,Campaign Manager,"$4,000to$6,000",Monthly,19 CHINA STREET 049561,Full Time,Middle Management,Advertising / Media ,"Roles & ResponsibilitiesWe’re Iris Concise (www.iris-concise.com) – a global growth consultancy with offices across Asia, the US and Europe. We help our clients develop more valuable relationships with their customers. We are entrepreneurs ourselves and believe in offering clients new perspectives. We get to the point. Our business operates across Communities of Practice – collaborative teams spanning our global offices in which we publish content, deliver projects and develop products. In Singapore we focus on 3 communities – commercial/channel/customer strategy, marketing effectiveness and digital transformation. Through leveraging data insights strategy brings to life solutions that address the business needs of our clients. Concise is part of iris Worldwide, the global creative innovation network (www.iris-worldwide.com). We work with iris to drive business growth and customer participation with many of the world’s household names – brands like Samsung, InterContinental Hotels Group, MINI, Adidas, Shell and others. Job Description We’re looking for a curious, analytical, and energetic Campaign Manager (CRM) to plan, execute and optimise targeted marketing campaigns in 9 markets across Asia. You’ll be working as part of a cross- agency team (data, strategy, creative, production, operations) which is pioneering data-driven marketing for one of the biggest electronics brands in the world.      RequirementsWhat we’re looking for someone who:   Has 5+ years of working experience with designing, planning, and running CRM, Loyalty, Customer Lifecycle programs   Has a diploma/bachelors graduate (preferably in Technology or Marketing)   Enjoys working with data and technology   Likes marketing, but from a technology and operations perspective   Is a strong client and project manager   Is highly organized and a natural forward thinker/planner   Is self-driven with strong attention to detail   Has positive attitude and a great team player   Is comfortable working with data/numbers and deriving insights from them   Is a good communicator with excellent written and oral English   Pays very strong attention to details, and is a highly organized, structured thinker who enjoys getting hands-on with operations and technology   Has sound technical knowledge of how to operate at least one CRM / EDM marketing platform – e.g. SAP Hybris (desired), Adobe Marketing Cloud, Salesforce Marketing Cloud, Microsoft Dynamics, Eloqua   Is familiar with concepts like SQL and HTML (a plus)  "
Ministry of Social and Family Development,"Assistant Manager (Systems, Exclusion and Visit Limit), Gambling Safeguards Division (GSD)",Salary undisclosed,,"MSF BUILDING, 512 THOMSON ROAD 298136",Full Time,,Public / Civil Service,"Roles & ResponsibilitiesThe Gambling Safeguard Division formulates, reviews and coordinates policies that address problem gambling and promote responsible gambling.   You will be part of a dynamic team that supports the National Council on Problem Gambling (NCPG) in managing problem gambling in the community.   Responsibilities: As an Assistant Manager (Systems, Exclusion and Visit Limit), you will play an integral role in the smooth operation of the division’s Information Technology (IT) systems and be involved in data analysis to support the work of protecting vulnerable persons from problem gambling. You will also be able to interact with clients from all walks of life in the provision of social safeguards.    You will be expected to:  Put up and see through implementation of systems service requests Follow up on systems issues promptly and work with IT engineers to resolve these issues Harness data from the systems to support analysis and data reporting Take up roles in support of the work of the NCPG  You will be part of a team that works on technology initiatives to enhance service delivery and productivity, as well as run programmes aimed at raising the ministry’s service standards.   Competencies required: Functional/Technical Competencies-  Tertiary qualification preferably in an IT related discipline Have at least 1 year of experience in supporting ICT systems  Generic Competencies-  Be result oriented, meticulous and analytical Possess good interpersonal, written and communication skills Have a good knowledge of office applications such as Microsoft Word, Excel and PowerPoint "
THE SUPREME HR ADVISORY PTE. LTD.,Account Cum Admin  /  /  Senior Level  /  /  2800-3000  /  /  Payroll  /  /  CPF  /  /  Clarke Quay,"$2,800to$3,000",Monthly,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015","Permanent, Full Time",Senior Executive,Consulting ,"Roles & ResponsibilitiesResponsibilities: Executive and Finance Operations Support • Administrative support to Chief Executive on corporate documentation including presentations, contracts, renewals, legal and regulatory documents • Working with Finance Executive to prepare invoices, quotations and accounts payables • Work with accountant to deliver end of month Finance Report  • Ensure timely transfer and completion of the monthly accounts • Maintain business critical information such as employee data, CPF information, Corporate tax information and other relevant data • Maintain office facilities including pantry supplies, general office supplies and fixtures • Prepare and compile regular management reports (weekly, monthly, quarterly), quarterly business updates • Manage day to day staff packages, programmes, rewards and annual leave • Liaise with third party vendors to ensure the correct functioning of all office equipment • File, organise and manage the business correspondence and informationRequirementsRequirements: • A diploma or higher in the field of business administration, finance, accounting, or related field • Relevant experience in administration roles or positions • 5-6 years minimum in administration roles or positions is required, with ability to support small teams or working as divisional administrators • 2-3 years of experience in a services or consulting firm"
THE SUPREME HR ADVISORY PTE. LTD.,Senior Site Engineers  /  /  Electrical  /  /  MVAC  /  /  4000++  /  /  Bugis  /  /  Senior Level,"$4,000to$5,000",Monthly,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015","Permanent, Full Time",Senior Executive,Building and Construction,"Roles & Responsibilities1) Electrical  Minimum 5 years as a project manager, experience in electrical projects. Experience of data centres, A and A works, Tunnel projects and/or SP sub-station projects an advantage. Design capability preferred but must have worked for an electrical contractor. 2) MVAC Minimum 5 years experience, design capability preferred but must have worked for a MVAC contractors. Experience of data centres, A & A Work, Tunnel ventilation an adavantage.RequirementsSenior Site Engineers Location:(Bugis) Salary Range 4K onwards (Depending on experience) "
THE SUPREME HR ADVISORY PTE. LTD.,Vehicle Technicians  /  /  Electrician  /  /  Changi  /  /  Transport Provided  /  /  1800-2000+ OT  /  /  Maintenance,"$1,800to$2,500",Monthly,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015","Permanent, Full Time",Junior Executive,Repair and Maintenance,"Roles & ResponsibilitiesResponsibilities: A) Repair, Maintenance and Replacement of Taxi Equipment, for example, Mobile Data Terminal (MDT), Taxi Meter, Cashless Pinpad, In-vehicle Camera etc B) Others • Installation of Taxi Equipment(New and Replacement) • Removal of Taxi Equipment(Storage and Scrap) • Project Execution(Upgrading/Improvement of Taxi Equipment) • Homologation of New Vehicle Model  • Storage/Packing of Taxi Equipment • Preparation of Taxi Equipment for New Vehicles Registration • Equipment firmware checks, uploading/downloading and documentation/email • User Acceptance Test on Taxi Equipment • Downloading of Meter/MDT log files for Analysis/Troubleshoot • Camera Video Retrievals Procedure/Formatting  • Meter/Camera/Pinpad seal replacement/documentation  • Procedure of Taxi Equipment usage to Hirers • Rewiring/Relocation of Taxi Equipment • Monthly Stock Inventory Check/Upkeep • Soldering work • Documentation/Service reportRequirementsTechnician/Electrician (Equipment team) -Working Hours: Mon to Fri, 0830hr to 1800hr, Alternate Sat 9am to 1pm (5.5 working days, Alternate Saturday) -Salary range: $1,800 to $2,000 (with overtime benefit) -Working location: Changi South  -Company transport provided at Yio Chu Kang/Jurong East/Tanah Merah MRT"
THE SUPREME HR ADVISORY PTE. LTD.,Warehouse Assistant  /  /  Lavender  /  /  1500-2000  /  /  5 Days,"$1,500to$2,000",Monthly,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015","Permanent, Full Time","Fresh/entry level, Junior Executive",Logistics / Supply Chain,"Roles & ResponsibilitiesJOb Scope: -Packing stock & checking cargo -Delivery and collect item -Computer data entry of stock cardRequirements-Experience, Skills/ certifications – Basic computer skill and Driving license class 3 (If no class 3 also ok) -5 Day A Week -- 9:00am -6:00pm -Location: Lavender Singapore  -Salary: $1,500 - $2,000"
Ministry of Social and Family Development,"Assistant Manager / Manager (Child and Family Development Policy), ComCare and Social Support Division",Salary undisclosed,,"MSF BUILDING, 512 THOMSON ROAD 298136",Full Time,,Public / Civil Service,"Roles & ResponsibilitiesThe ComCare and Social Support Division develops policies and programmes to strengthen upstream support for low-income and vulnerable families and children.
Responsibilities:
The candidate will lead in developing/reviewing policies, programmes and operations policies to strengthen upstream support for low-income and vulnerable families with children. The candidate will also work with partners within and outside government in the process and to ensure that implementation is in line with policy objectives.
Functional/Technical Competencies:

Tertiary qualifications, with at least 2-3 years of relevant experience
Strong communication, writing, analytical and problem solving skills; candidates with quantitative data analysis skills will have an advantage

Generic CompetencieS:

Team player who is able to build collaborative relationships with stakeholders
Proactive and resourceful individual with a ‘can do’ spirit, who is able to work independently
"
IRISNATION SINGAPORE PTE. LTD.,Strategy Consultat,"$4,000to$6,800",Monthly,19 CHINA STREET 049561,Full Time,Manager,Advertising / Media ,"Roles & ResponsibilitiesWe’re Iris Concise (www.iris-concise.com) – a global growth consultancy with offices across Asia, the US and Europe. We help our clients develop more valuable relationships with their customers. We are entrepreneurs ourselves and believe in offering clients new perspectives. We get to the point. Our business operates across Communities of Practice – collaborative teams spanning our global offices in which we publish content, deliver projects and develop products. In Singapore we focus on 3 communities – commercial/channel/customer strategy, marketing effectiveness and digital transformation. Through leveraging data insights strategy brings to life solutions that address the business needs of our clients. Concise is part of iris Worldwide, the global creative innovation network (www.iris-worldwide.com). We work with iris to drive business growth and customer participation with many of the world’s household names – brands like Samsung, InterContinental Hotels Group, MINI, Adidas, Shell and others. Job Description Ideally you will have between 4-6 years of experience in management consulting and/or in an industry role that has exposed you to a variety of projects and challenges. Your strong academic background is matched by an ability to strike up effective working relationships with people from different backgrounds quickly. The ideal candidate must possess strong commercial acumen, be well organised, have an entrepreneurial streak and be willing to learn in order to quickly develop into a business leader in a dynamic, small company environment. You’ll need to be comfortable working with, and leading, an internal team as well as presenting to and becoming a trusted advisor of Iris agency partners and clients of varying levels of seniority. Proficiency in delivering client-facing projects, with mixed client and internal team members of different levels is essential. Strategy Consulting professionals demonstrate skills in management and analytics consulting services to help clients develop commercial strategies, business plans and design solutions to drive additional enterprise and customer value. It can include conducting projects like: growing customer loyalty, digital marketing, implementing change plans to seek adoption throughout the business, roadmap development, exploring avenues for incremental revenue, seeking partnerships for our clients that demonstrate win-win opportunities and competitive assessments. Individual will be working directly with clients and Iris leadership and working team with minimum oversight to deliver high value services and deliverables to clients across a wide range of industries. These projects require independent thinkers who enjoy a good challenge and want to help clients to stay on the forefront.RequirementsBasic Qualifications   Bachelor’s degree and above, with 4-6 years working experience in management consulting firms, or marketing functions in related industries, such as: FMCG, hospitalities, retail management, alcohol beverages, F&B, data-driven CRM functions, and etc.   Self-starter and enthusiastic with entrepreneurial drive   Excellent attention to details with proven project management and delivery skills   Ability to engage and work with broad range of customer and engagement team levels and roles   Experience working creatively and analytically in a fast paced and multi-disciplined agency environment   Analytical, problem-solving mentality, deep project experience in commercial/channel/consumer strategy, OR/AND digital strategy, OR/AND change management   Ability to work effectively in either a single engagement or while supporting multiple business development opportunities with minimum oversight   Excellent written work and presentation skills with strong Excel/PowerPoint skills preferred   Native / Fluent in English; other languages are plus   Some flexibility for occasional travel across Asia Pacific  "
