,URL
0,https://www.mycareersfuture.sg/job/senior-manager-irisnation-singapore-eedf3e4ed9b4a1109dede573c065e4c7
1,https://www.mycareersfuture.sg/job/senior-manager-irisnation-singapore-6e14524c2a61703ef7a0d12144f5474e
2,https://www.mycareersfuture.sg/job/campaign-manager-irisnation-singapore-6373163e2f6e3f0e5598f65960fc5209
3,https://www.mycareersfuture.sg/job/assistant-manager-gambling-safeguards-division-ministry-social-family-development-dbe070e21e1767dd73abc56b515988d3
4,https://www.mycareersfuture.sg/job/account-cum-admin-senior-level-2800-3000-payroll-cpf-clarke-quay-supreme-hr-advisory-9458b47d919bcc72d1e93cf37a55ac4c
5,https://www.mycareersfuture.sg/job/senior-site-engineers-electrical-mvac-4000-bugis-senior-level-supreme-hr-advisory-2741779ba2aaa5efdeb0920bd3298480
6,https://www.mycareersfuture.sg/job/vehicle-technicians-electrician-changi-transport-provided-1800-2000-ot-maintenance-supreme-hr-advisory-1b9dc65f0ea2f26fc40820a7b28e67de
7,https://www.mycareersfuture.sg/job/warehouse-assistant-lavender-1500-2000-5-days-supreme-hr-advisory-bf3504005d01ba5e32d08fa72f461027
8,https://www.mycareersfuture.sg/job/assistant-manager-manager-comcare-social-support-division-ministry-social-family-development-196c4665c8e14948502806fe9c567852
9,https://www.mycareersfuture.sg/job/strategy-consultat-irisnation-singapore-f47237f655d418e6cf29bc67f2d39b10
10,https://www.mycareersfuture.sg/job/associate-director-irisnation-singapore-ba801df9099ccc114cb441370e5584e4
11,https://www.mycareersfuture.sg/job/senior-network-manager-permanent-position-david-goliath-d85e5e92ecbb1c6c65cf68e48551562f
12,https://www.mycareersfuture.sg/job/network-architect-permanent-position-david-goliath-b64981ab92ac135dccead7de357ea2b5
13,https://www.mycareersfuture.sg/job/test-engineer-test-script-information-technology-supreme-hr-advisory-3314b3bc7c678494918ec2f756d5627a
14,https://www.mycareersfuture.sg/job/assistant-engineer-lourdes-gavin-a802119f39827fec3f08f3e239c005c5
15,https://www.mycareersfuture.sg/job/pre-approval-evaluator-7e468c8bd59724bd411c3cc50b1223cd
16,https://www.mycareersfuture.sg/job/assistant-hr-manager-31597e862abe0b37c8c86d88e2ab16a0
17,https://www.mycareersfuture.sg/job/infrastructure-technical-specialist-1d4433a9eb430336a5e97f94bf7f627e
